Code,Nom Français,Nom Anglais,Latitude,Longitude,Source coordonnées,Lien Google Maps
Baudin341,C Elie,Cape Elie Terre de Diemen: Nord-Ouest,,,,
Baudin342,C Guyton,Guyton Point Terre de Diemen: Nord-Ouest,,,,
Baudin343,Baie Ransonnet,Ransonnet Bay Terre de Diemen: Nord-Ouest,,,,
Baudin344,Entrée du Casuarina,Robbins passage,,,,
Baudin345,C Berthoud, Cape Grim,,,,
Baudin346,Riv Fleurieu,Agnes Rivulet Canal d'Entrecasteaux Ile Bruny,,,,
Baudin347,Bassin Ransonnet,Pitt Water Presqu'Ile du Nord,,,,
Baudin348,Riv Brue,Carlton River Iron Creek Port BuachePresqu'île Tasman and Forestier,,,,
Baudin349,I Caves,Isle of Caves ,,,,
Baudin350,Presqu'île Tasman,Tasman Peninsula,,,,
Baudin351,Port Buache,Norfolk Bay Port BuachePresqu'île Tasman,,,,
Baudin352,Baie Maingon,Maingon Bay Port BuachePresqu'île Tasman,,,,
Baudin353,C Haüy,Cape Hauy Port BuachePresqu'île Tasman,,,,
Baudin354,B. Dolomieu,Fortescue Bay Port BuachePresqu'île Tasman,,,,
Baudin355,Baie Monge,Pirates Bay Port BuachePresqu'île Tasman,,,,
Baudin356,C.Surville,Cape Surville Port BuachePresqu'île Tasman,,,,
Baudin357,Presqi'île Forestier,Forestier Peninsula Port BuachePresqu'île Tasman,,,,
Baudin358,C Paul Lamanon,Cape Paul Lamanon Port BuachePresqu'île Tasman,,,,
Baudin359,Pte du Ressac,Point du Ressac Marion Bay,,,,
Baudin360,C Bernier,"Cape Bernier Baie Marion (North of Marion Bay, Mercury passage) ",,,,
