Code,Nom Français,Nom Anglais,Latitude,Longitude,Source coordonnées,Lien Google Maps
Baudin421,Ȋles Louis-Napoléon,,,,,
Baudin422,Cap Faure,Phillip Point,-32.023,115.448,Tageo — Cape Vlamingh citeturn17search0,"https://www.google.com/maps?q=-32.023000,115.448000"
Baudin423,Cap Boullanger,Cape Vlamingh,-32.0028,115.55926,Mapcarta — Phillip Point citeturn14view0,"https://www.google.com/maps?q=-32.002800,115.559260"
Baudin424,Cap Leschenault,Cape Leschenault,-29.5167,114.933,Tageo — Cape Leschenault citeturn1search1,"https://www.google.com/maps?q=-29.516700,114.933000"
Baudin425,Baie Breton,Breton Bay,,,,
Baudin426,Ȋ Lancelin,Lancelin island,-31.002778,115.320833,Wikipedia — Lancelin Island citeturn6search1,"https://www.google.com/maps?q=-31.002778,115.320833"
Baudin427,Ȋ Boullanger,Boullanger island,-30.314722,115.024444,Wikipedia — Boullanger Island citeturn6search2,"https://www.google.com/maps?q=-30.314722,115.024444"
Baudin428,Baie Jurien,Jurien Bay,-30.297,115.042,Latitude.to — Jurien Bay citeturn15view0,"https://www.google.com/maps?q=-30.297000,115.042000"
Baudin429,Piton Lesueur,Mt Le Sueur,-30.216389,115.230278,Wikipedia — Mount Lesueur citeturn7search0,"https://www.google.com/maps?q=-30.216389,115.230278"
Baudin430,Piton Péron,Mt Péron,,,,
Baudin431,Montagne du Naturaliste,Mount Singleton ,-29.816389,115.584167,"Wikipedia — Mount Singleton (Mid West, WA) citeturn7search2","https://www.google.com/maps?q=-29.816389,115.584167"
Baudin432,Pointe Rouge,Bluff Point/Red Bluff,,,,
Baudin433,Baie Gantheaume,Gantheaume Bay (Kalbarri),,,,
Baudin434,C. Bellefin,Cape Bellefin,-26.01992,113.30109,Mapcarta — Cape Bellefin citeturn19search7,"https://www.google.com/maps?q=-26.019920,113.301090"
Baudin435,Mondrain de direction,MOUNT DIRECTION,,,,
Baudin436,Havre Inutile,useless Inlet,-26.166667,113.35,Wikipédia (FR) — Havre Inutile / Useless Inlet citeturn18search19,"https://www.google.com/maps?q=-26.166667,113.350000"
Baudin437,C. Heirisson,Cape Heirisson,-25.272217,113.076883,WA Government Gazette — coord. près du cap St Cricq citeturn20search19,"https://www.google.com/maps?q=-25.272217,113.076883"
Baudin438,C. Ransonnet ,Cape Ransonnet,,,,
Baudin439,Le Coin de Mire,QUOIN BLUFF SOUTH,,,,
Baudin440,Baie des Tétrodons,"TETRODON LOOP,",,,,
Baudin441,Ȋ des Tétrodons, Egg Island,,,,
Baudin442,Pointe du Refuge,NOTCH POINT,,,,
Baudin443,C. Levillain,Cape Levillain,,,,
Baudin444,cap de l'Inscription,"cape Inscription, ",,,,
Baudin445,Passage du Naturaliste,Naturaliste Channel,,,,
Baudin446,C.St Cricq,"Cape St-Cricq, Observation Hillock",,,,
Baudin447,Ȋle Bernier,Bernier Island,,,,
Baudin448,C. Ronsard,Cape Ronsard,,,,
Baudin449,Passage du Géographe,Geographe Channel,,,,
Baudin450,Havre Henri Freycinet,Henri Freycinet Harbour,,,,
Baudin451,Ȋ. Lefebvre,Lefebre Island,,,,
Baudin452,Entrée Depuch,Depuch Loop,,,,
Baudin453,Pointe Giraud,Giraud Pt,-26.4632,113.631433,WA Govt Order — coin NE de Giraud Point citeturn10search13,"https://www.google.com/maps?q=-26.463200,113.631433"
Baudin454,Ȋ. Leschenault,Salutation Island,-26.225,113.505,DBCA (Seabird monitoring) — Lefebre Island citeturn9search11,"https://www.google.com/maps?q=-26.225000,113.505000"
Baudin455,Ȋle aux trois Baies ,Three Bays Island,,,,
Baudin456,Isthme Taillefer,Taillefer Isthmus,,,,
Baudin457,Pte Moreau,Goulet Bluff?,,,,
Baudin458,Presqu'ȋle Péron,Peron Peninsula,,,,
Baudin459,C. Lesueur,Cape Lesueur,,,,
Baudin460,Etang Montbazin,Lake Montbazin,,,,
