Code,Nom Français,Nom Anglais,Latitude,Longitude,Source coordonnées,Lien Google Maps
Baudin461,Baie de l'Attaque,Herald Bight,,,,
Baudin462,Baie de Dampier,DAMPIER ROAD,,,,
Baudin463,Pte Guichenault,Guichenault Point,,,,
Baudin464,Havre Hamelin,Hamelin Pool,,,,
Baudin465,B. Lharidon,L'Haridon Bight,,,,
Baudin466,Pointe Petit,Petit Point,,,,
Baudin467,Ȋ. Faure,Faure Island,,,,
Baudin468,Banc des tortues,Faure Flat,,,,
Baudin469,Cap Cuvier,Cape Cuvier,-24.169,113.402,"Wikipedia — Cape Cuvier, WA (headland)","https://www.google.com/maps?q=-24.169000,113.402000"
Baudin470,Cap Murat,Point Murat,,,,
Baudin471,Ȋles de Rivoli,Rivoli Islands,,,,
Baudin472,Ȋ. Muiron,Muiron Islands,-20.992,114.222,Wikipedia — Muiron Islands (centre du groupe),"https://www.google.com/maps?q=-20.992000,114.222000"
Baudin473,Ȋ. Victor,Victor Island,,,,
Baudin474,Ȋ. Bessières,Bessieres island,,,,
Baudin475,Ȋ. Serrurier,Serrurier island,,,,
Baudin476,Ȋ. Thévenard,Thevenard Island,,,,
Baudin477,Ȋ. Rosily,"Rosily Islands, Rosily shoal",,,,
Baudin478,C. Poivre,Poivre Reef,,,,
Baudin479,B. Flacourt,Flacourt Bay,,,,
Baudin480,C. Malouet,Cape Malouet,,,,
Baudin481,C. Dupuy,Cape Dupuy,,,,
Baudin482,Ȋ. Lowendal,Lowendal Islands,,,,
Baudin483,Ȋles de Montebello,Montebello Islands,,,,
Baudin484,Ȋ. La Trimouille,Trimouille Island,,,,
Baudin485,Ȋ. L'Hermite ,Hermite Island,,,,
Baudin486,B. Regnard,Regnard Bay,,,,
Baudin487,Cap Bruguière,CAPE BRUGUIERES,,,,
Baudin488,Ile Legendre,LEGENDRE ISLAND,-20.43,116.833,Wikipedia — Legendre Island,"https://www.google.com/maps?q=-20.430000,116.833000"
Baudin489,Ȋ. Haüy,Hauy Island,,,,
Baudin490,Archipel de Dampier,Dampier Archipelago,-20.6,116.8,Wikipedia — Dampier Archipelago (centre),"https://www.google.com/maps?q=-20.600000,116.800000"
Baudin491,Ȋ. Delambre,Delambre Island,,,,
Baudin492,Ȋ. Bézout,Bezout Island,,,,
Baudin493,Entrée Bouguer,BOUGUER ENTRANCE,,,,
Baudin494,Ȋ. Picard,Picard Island,,,,
Baudin495,Ȋ. Depuch,Depuch Island,,,,
Baudin496,Iles Forestier,Forestier Islands,,,,
Baudin497,Ilot de sable,Sable island,,,,
Baudin498,Ȋ. Ronsard,Ronsard Island,,,,
Baudin499,Basses du Géographe,GEOGRAPHE SHOALS,,,,
Baudin500,C. Cossigny,Cape Cossigny,,,,
