Code,Expedition,State,French name,Baudin's Original name,Australian name,Aborigines name,Aborigines langage,latitude,longitude,Source coordonnées,test coordonnées,Vérifié,Caracteristiques (FR),Characteristic (EN),Origine du nom (FR),Origin of the name (EN),URL WIKI FR,URL WIKi EN,URL IMG,URL DIV,Origine du nom version initiale,détails,@
Entre01,Entrecasteaux,Tas,Port du Sud,,Rocky Bay,,,-43.57,146.89,manuel,,ok,"Nommé en référence à sa situation géographique dans la Baie de la Recherche. À l'origine, dans son récit, d'Entrecasteaux désignait le Port du Sud sous le nom de ‘Baie des roches’ (aujourd'hui Rocky Bay) en raison des rochers et des récifs proéminents.","Named with reference to its geographical location in Recherche Bay. Originally, in his narrative, d’Entrecasteaux referred to Port du Sud as ‘Baie des roches’ (today’s Rocky Bay) on account of the protruding rocks and reefs.",,,,,,,,,
Entre02,Entrecasteaux,Tas,Port du Nord,,Pigsties Bay,,,-43.53,146.90,manuel,,ok,Nommé en référence à sa situation géographique dans la Baie de la Recherche.,Named with reference to its geographical location in Recherche Bay.,,,,,,,,,
Entre03,Entrecasteaux,Tas,Baie de la Recherche,,Recherche Bay ,Laylatiya,palawa (Tasmanian),-43.55,146.90,manuel,,ok,"Nommée d'après le premier navire de l'expédition, La Recherche, commandé par Bruny d'Entrecasteaux.","Named after the expedition’s first vessel, La Recherche, captained by Bruny d’Entrecasteaux",,,,,,,,Entre03.rtf,
Entre04,Entrecasteaux,Tas,Ile Stérile,,Sterile Island  (the Actaeon Island Group),,,-43.55,146.99,manuel,,ok,"La dénomination originale de ce groupe d'îles et d'îlots par les Français, ""îles Stériles"" et ""Rocher Blanc"", reflète davantage les premières impressions des voyageurs lors de leur levé initial que l'environnement naturel réel de ces îles : l'île Stérile est couverte d'herbes en touffes et de buissons, et le Rocher Blanc est composé de dolérite de couleur gris foncé.","The original naming of this group of islands and islet by the French as îles Stériles and Rocher Blanc (White Rock), reflect more on the voyagers’ earliest impressions during their initial running survey than on the actual natural environment of these islands: Sterile Island is covered with tussock grass and bushes and Blanche Rock is composed of dolerite rock of a dark grey colour.",,,,,,,,,
Entre05,Entrecasteaux,Tas,Rocher Blanc,,Blanche Rock (the Actaeon Island Group),,,-43.48,147.00,manuel,,ok,"La dénomination originale de ce groupe d'îles et d'îlots par les Français, ""îles Stériles"" et ""Rocher Blanc"", reflète davantage les premières impressions des voyageurs lors de leur levé initial que l'environnement naturel réel de ces îles : l'île Stérile est couverte d'herbes en touffes et de buissons, et le Rocher Blanc est composé de dolérite de couleur gris foncé.","The original naming of this group of islands and islet by the French as îles Stériles and Rocher Blanc (White Rock), reflect more on the voyagers’ earliest impressions during their initial running survey than on the actual natural environment of these islands: Sterile Island is covered with tussock grass and bushes and Blanche Rock is composed of dolerite rock of a dark grey colour.",,,,,,,,,
Entre06,Entrecasteaux,Tas,Anse des Ormiers,,Little Lagoon Beach,,,-43.48,147.00,manuel,,ok,,,,,,,,,,,
Entre07,Entrecasteaux,Tas,Baie des Moules,,Southport Canal d'Entrecasteaux Ile Bruny,,,-43.43083,146.97368,"Wikipedia – Southport, Tasmania","https://www.google.com/maps?q=-43.43083,146.97368",,,,,,,,,,,,
Entre08,Entrecasteaux,Tas,Pointe Rossel,,Rossel Point d'Entrecasteux Channel,,,-43.217,147.283,Wikipedia – D'Entrecasteaux Channel,"https://www.google.com/maps?q=-43.217,147.283",,,,,,,,,,,,
Entre09,Entrecasteaux,Tas,Cap Bruny,,Cape Bruny Canal d'Entrecasteaux Ile Bruny,,,-43.491139,147.142222,https://en.wikipedia.org/wiki/Cape_Bruny_Lighthouse,"https://www.google.com/maps?q=-43.491139,147.142222",,,,,,,,,,,,
Entre10,Entrecasteaux,Tas,Baie Mauvaise,,"Cloudy Bay Shown as 'Bad Bay' on Evans' map 1822, and on maps until Sprent's in 1859 when 'Bad or Cloudy Bay' appears.",,,-43.45333,147.22566,https://en.wikipedia.org/wiki/Cloudy_Bay_(Tasmania),"https://www.google.com/maps?q=-43.45333,147.22566",,,,,,,,,,,,
