page,leaf,table,navire,date,date_republicaine,date_gregorienne,latitude,longitude,longitude_paris,latitude_dms,latitude_ref,longitude_dms,longitude_ref,obs_latitude,obs_longitude,thermometre,barometre_pouces,barometre_lignes,barometre_mm,barometre_hpa,hygrometre,vents_etat_du_ciel,points_lunaires,points_solaires,declinaison_boussole,remarque,remarque_portee,au_mouillage,alerte,notes
475,497,1 - Traversée du Havre à Ténériffe,les corvettes,1800-10-19,27 vendémiaire an IX,1800-10-19,"49,5106","-0,0706","-2,4078",49.30.38,Nord,2.24.28,Occidentales,△,△,"10,0",28,"8,3","776,7",1036,93,"NE. E. SE. Joli frais ; beau temps, ciel nuageux.",Constitution australe,Automne boréal,//,"Les corvettes le Géographe et le Naturaliste sont parties du port du Havre le 19 octobre 1800, à 10 heures du matin.",,,,Têtes de colonne : LATITUDES « Nord. » ; Thermomètre « + » ; DÉCLINAISON de la Boussole « NO. »
475,497,1 - Traversée du Havre à Ténériffe,les corvettes,1800-10-20,28 vendémiaire an IX,1800-10-20,"50,1833","-1,2931","-3,6303",50.11.0,Nord,3.37.49,Occidentales,,,"11,5",28,"8,0","776,0",1035,95,S. Variable du SSE. au SSO. et calme ; ciel nuageux.,P ; Constitution australe,Automne boréal,//,Vu l'île Aurigny et les Casquets.,,,,
475,497,1 - Traversée du Havre à Ténériffe,les corvettes,1800-10-21,29 vendémiaire an IX,1800-10-21,"49,9603","-2,4156","-4,7528",49.57.37,Nord,4.45.10,Occidentales,△,△,"9,0",28,"7,0","773,8",1032,//,"De l'O. au N., grand frais ; temps couvert et brumeux.",Constitution australe,Automne boréal,//,En vue des côtes d'Angleterre.,,,,
475,497,1 - Traversée du Havre à Ténériffe,les corvettes,1800-10-22,30 vendémiaire an IX,1800-10-22,"49,6000","-3,7431","-6,0803",49.36.0,Nord,6.4.49,Occidentales,,*,"10,0",28,"7,0","773,8",1032,//,"NNO. NNE. NE. Joli frais ; ciel nuag., pet. pluie le soir.",L ; Constitution australe,Automne boréal,//,,,,,
475,497,1 - Traversée du Havre à Ténériffe,les corvettes,1800-10-23,1er brumaire an IX,1800-10-23,"48,3167","-5,7320","-8,0692",48.19.0,Nord,8.4.9,Occidentales,,,"13,0",28,"7,0","773,8",1032,81,NNO. NNE. NE. E. SSE. S. NE. Petit fr. et très-var.; t. couv.,Constitution australe,♏ ; Automne boréal,26° 40',,,,,
475,497,1 - Traversée du Havre à Ténériffe,les corvettes,1800-10-24,2 brumaire an IX,1800-10-24,"47,5333","-6,6253","-8,9625",47.32.0,Nord,8.57.45,Occidentales,*,*,"12,0",28,"6,0","771,5",1029,87,SSO. Variable au SSE. Joli frais ; temps couvert.,Constitution australe,Automne boréal,26. 0.,,,,,
475,497,1 - Traversée du Havre à Ténériffe,les corvettes,1800-10-25,3 brumaire an IX,1800-10-25,"46,9650","-9,0931","-11,4303",46.57.54,Nord,11.25.49,Occidentales,,*,"14,0",28,"4,0","767,0",1023,85,S. SO. Joli frais ; SO. NO. Gr. frais ; pluie continuelle.,☾ ; Constitution australe,Automne boréal,//,,,,,
475,497,1 - Traversée du Havre à Ténériffe,les corvettes,1800-10-26,4 brumaire an IX,1800-10-26,"43,3881","-10,1931","-12,5303",43.23.17,Nord,12.31.49,Occidentales,,,"11,0",28,"4,0","767,0",1023,86,NO. NNO. Joli frais ; temps couvert.,Constitution australe,Automne boréal,26. 18.,,,,,
475,497,1 - Traversée du Havre à Ténériffe,les corvettes,1800-10-27,5 brumaire an IX,1800-10-27,"42,6667","-11,7597","-14,0969",42.40.0,Nord,14.5.49,Occidentales,,,"12,4",28,"6,0","771,5",1029,82,NO. N. NE. ENE. Joli frais ; beau temps.,Constitution australe,Automne boréal,25. 20.,"Le passage des vents de NO. à ceux d'ENE., a été assez prompt, en accostant les parages des vents alizés.",,,,
475,497,1 - Traversée du Havre à Ténériffe,les corvettes,1800-10-28,6 brumaire an IX,1800-10-28,"39,7886","-11,3931","-13,7303",39.47.19,Nord,13.43.49,Occidentales,,,"13,2",28,"6,0","771,5",1029,92,NE. ENE. Joli frais ; beau t. ; pluie le soir.,Constitution australe,Automne boréal,//,,,,,
