Code,Nom,URL WIKI FR,URL IMG,URL VERIF,URL WIKi EN
Baudin033,Bataille de Rivoli (1797),https://fr.wikipedia.org/wiki/Bataille_de_Rivoli_(1797),https://commons.wikimedia.org/wiki/Special:FilePath/Delignon_Bataille_de_Rivoli_les_25_et_26_nivose_an_5.jpg?download=1,https://commons.wikimedia.org/wiki/File:Delignon_Bataille_de_Rivoli_les_25_et_26_nivose_an_5.jpg,https://en.wikipedia.org/wiki/Battle_of_Rivoli
Baudin034,Siège de Jaffa,https://fr.wikipedia.org/wiki/Si%C3%A8ge_de_Jaffa,https://commons.wikimedia.org/wiki/Special:FilePath/Le_g%C3%A9n%C3%A9ral_Bonaparte_visite_les_pestif%C3%A9r%C3%A9s_de_Jaffa_11_Mars_1799%2C_G.29263.jpg?download=1,"https://commons.wikimedia.org/wiki/File:Le_général_Bonaparte_visite_les_pestiférés_de_Jaffa_11_Mars_1799,_G.29263.jpg",https://en.wikipedia.org/wiki/Siege_of_Jaffa
Baudin035,François Rabelais,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Rabelais,https://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois_Rabelais._Line_engraving_by_J._F._Badoureau._Wellcome_V0007781.jpg?download=1,https://commons.wikimedia.org/wiki/File:François_Rabelais._Line_engraving_by_J._F._Badoureau._Wellcome_V0007781.jpg,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Rabelais
Baudin036,Joseph Dombey,https://fr.wikipedia.org/wiki/Joseph_Dombey,https://commons.wikimedia.org/wiki/Special:FilePath/Joseph_Dombey_Bust_1905.png?download=1,https://commons.wikimedia.org/wiki/File:Joseph_Dombey_Bust_1905.png,https://en.wikipedia.org/wiki/Joseph_Dombey
Baudin037,Luc Urbain du Bouëxic de Guichen,https://fr.wikipedia.org/wiki/Luc_Urbain_du_Bou%C3%ABxic_de_Guichen,https://commons.wikimedia.org/wiki/Special:FilePath/Desire_-_G_Vendramini_after_Vernet_-_Admiral_Guichen_-_1795.jpg?download=1,https://commons.wikimedia.org/wiki/File:Desire_-_G_Vendramini_after_Vernet_-_Admiral_Guichen_-_1795.jpg,"https://en.wikipedia.org/wiki/Luc_Urbain_de_Bouexic,_comte_de_Guichen"
Baudin038,Famille Bernoulli,https://fr.wikipedia.org/wiki/Famille_Bernoulli,,,https://en.wikipedia.org/wiki/Bernoulli_family
Baudin039,Bernard-Germain de Lacépède,https://fr.wikipedia.org/wiki/Bernard-Germain_de_Lac%C3%A9p%C3%A8de,https://commons.wikimedia.org/wiki/Special:FilePath/IFF_4-1_B%C3%A9noist_0039.jpg?download=1,https://commons.wikimedia.org/wiki/File:IFF_4-1_Bénoist_0039.jpg,https://en.wikipedia.org/wiki/Bernard-Germain-de-Lac%C3%A9p%C3%A8de
Baudin040,Justin Bonaventure Morard de Galles,https://fr.wikipedia.org/wiki/Justin_Bonaventure_Morard_de_Galles,https://commons.wikimedia.org/wiki/Special:FilePath/Le_v._e._J._Bonaventure_Morard_de_Galles_%28fo194v%29.jpg?download=1,https://commons.wikimedia.org/wiki/File:Le_v._e._J._Bonaventure_Morard_de_Galles_(fo194v).jpg,https://en.wikipedia.org/wiki/Justin_Bonaventure_Morard_de_Galles
Baudin041,Pierre de Fermat,https://fr.wikipedia.org/wiki/Pierre_de_Fermat,https://commons.wikimedia.org/wiki/Special:FilePath/Pierre_de_Fermat_%28F._Poilly%29.jpg?download=1,https://commons.wikimedia.org/wiki/File:Pierre_de_Fermat_(F._Poilly).jpg,https://en.wikipedia.org/wiki/Pierre_de_Fermat
Baudin042,Gaspard Monge,https://fr.wikipedia.org/wiki/Gaspard_Monge,https://commons.wikimedia.org/wiki/Special:FilePath/Gaspard_Monge_by_Tassaert.jpg?download=1,https://commons.wikimedia.org/wiki/File:Gaspard_Monge_by_Tassaert.jpg,https://en.wikipedia.org/wiki/Gaspard_Monge
